,greek_council,organization,city,state,country,percent_Frlunch,hspubpriv,domint,hsboardday,hsreligion,hsgender,hstuition,sports,scholarship,greek
385,None,None,Sao Paulo,NA,Brazil,NA,private,International,Day,Unafilliated,Co-Ed,32392.12,None,None,0
390,None,None,Bloomfield Hills,Michigan,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,33100,Men's Lacrosse,None,0
396,None,None,San Diego,California,United States,NA,private,Domestic,Day,Episcopal,Co-Ed,33800,Men's Lacrosse,None,0
408,Fraternity,Sigma Alpha Epsilon,Los Angeles,California,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,35900,None,None,1
420,None,None,Bloomfield,New Jersey,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,37270,None,None,0
426,Sorority,Pi Beta Phi,Los Angeles,California,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,37725,None,None,1
434,None,None,Newtown Square,Pennsylvania,United States,NA,private,Domestic,Day,Unafilliated,All-Boys,38000,None,None,0
436,Sorority,Alpha Phi,Paris,NA,France,NA,private,International,Day,Unafilliated,Co-Ed,38118.13,Women's Fencing,None,1
446,None,None,Bethesda,Maryland,United States,NA,private,Domestic,Day,Quaker,Co-Ed,39360,None,None,0
458,Fraternity,Delta Sigma Phi,Den Haag,NA,Netherlands,NA,private,International,Day,Unafilliated,Co-Ed,40166.83,None,None,1
464,Fraternity,Alpha Tau Omega,Greenwich,Connecticut,United States,NA,private,Domestic,Day,Unafilliated,All-Boys,40450,None,None,1
466,Sorority,Alpha Delta Pi,Windsor,California,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,41400,None,None,1
467,Sorority,Pi Beta Phi,Greenwich,Connecticut,United States,NA,private,Domestic,Day,Unafilliated,All-Girls,41890,None,None,1
480,Sorority,Pi Beta Phi,New York City,New York,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,42805,None,None,1
484,Sorority,Delta Delta Delta,New York City,New York,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,42805,None,None,1
488,None,None,Hillsborough,California,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,42830,Women's Track,None,0
502,None,None,Cupertino,California,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,45877,None,None,0
514,Fraternity,Delta Sigma Phi,New York City,New York,United States,NA,private,Domestic,Day,Episcopal,Co-Ed,47965,None,None,1
521,None,None,Princeton,New Jersey,United States,NA,private,Domestic,Day,Unafilliated,Co-Ed,51440,None,None,0
1641,Sorority,Delta Delta Delta,New Canaan,Connecticut,United States,NA,private,Domestic,Boarding,Episcopal,Co-Ed,56460,None,None,1
1650,None,None,Germantown,Maryland,United States,NA,private,Domestic,Boarding,Episcopal,Co-Ed,57000,None,None,0
1654,Fraternity,Kappa Sigma,Middletown,Delaware,United States,NA,private,Domestic,Boarding,Episcopal,Co-Ed,57000,None,None,1
1657,None,None,Busan,NA,South Korea,NA,private,Domestic,Boarding,Episcopal,Co-Ed,57500,None,None,0
1659,None,None,Gyeonggi-do,NA,South Korea,NA,private,Domestic,Boarding,Unafilliated,Co-Ed,57785,None,None,0
1675,Fraternity,Sigma Nu,Fairfield,Connecticut,United States,NA,private,Domestic,Boarding,Unafilliated,Co-Ed,62190,None,None,1
1680,Sorority,Alpha Phi,London,NA,United Kingdom,NA,private,International,Boarding,Unafilliated,Co-Ed,118660.78,None,None,1
